Designator,Mid X,Mid Y,Layer,Rotation
C1,90.25,-47.5,top,180
C10,108,-85.25,top,90
C11,106.25,-64.875,top,270
C12,114.5,-73.5,top,180
C13,114.5,-56.5,top,180
C14,118.25,-60.5,top,180
C15,118.25,-65.75,top,180
C16,118.25,-63.5,top,180
C17,118.25,-69.5,top,0
C18,114.5,-71.75,top,180
C19,114.5,-58.25,top,180
C2,90.25,-66.75,top,180
C20,123.25,-48,top,180
C21,123.25,-66.5,top,180
C22,113.75,-78,top,180
C23,123.25,-63.5,top,180
C24,123.25,-82,top,180
C25,113.75,-52,top,180
C26,95,-75,top,90
C3,93.75,-60.5,top,0
C4,93.75,-79.75,top,0
C5,93.75,-78,top,180
C6,93.75,-81.5,top,180
C7,93.75,-58.75,top,180
C8,93.75,-62.25,top,180
C9,95,-55.75,top,90
D1,92.225,-43.75,top,180
D2,83.5,-43.75,top,0
FB1,123.25,-51.25,top,180
FB2,123.25,-69.75,top,180
FB3,123.25,-60.25,top,180
FB4,123.25,-78.75,top,180
J12,101.75,-58.75,top,180
J3,72,-77.5,top,0
J4,101.5,-75.25,top,0
J5,101.75,-66.25,top,0
J6,101.75,-84,top,0
J7,122.25,-55.75,top,180
J8,122.25,-74.25,top,180
Q1,99.25,-46.25,top,180
Q2,96.25,-85.25,top,180
Q3,103,-46.25,top,180
Q4,92.5,-85.25,top,180
Q5,106.75,-46.25,top,180
R1,90.25,-49.25,top,0
R10,97.25,-67.5,top,270
R11,89.75,-85.25,top,270
R12,101.25,-52.25,top,90
R13,88,-85.25,top,270
R14,104.75,-52.25,top,90
R15,106.25,-85.25,top,270
R16,103,-52.25,top,270
R17,106.5,-52.25,top,270
R2,90.25,-68.5,top,0
R3,93.75,-47.5,top,180
R4,93.75,-49.25,top,180
R5,93.75,-66.75,top,180
R6,93.75,-68.5,top,180
R7,84.5,-85.25,top,90
R8,86.25,-85.25,top,90
R9,99.5,-52.25,top,90
RV1,89.5,-60.75,top,180
RV2,89.5,-80,top,180
U1,91.25,-54,top,270
U2,91.25,-73.25,top,270
U3,111.75,-65,top,0
