Ref,Val,Package,PosX,PosY,Rot,Side
"D0","LRV","Backlit_Larvae_Smaller",95.000000,-120.000000,0.000000,bottom
"D1","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",48.000000,-75.000000,0.000000,bottom
"D2","LRV","Backlit_Larvae_Smaller",110.000000,-120.000000,0.000000,bottom
"D3","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",68.000000,-75.000000,0.000000,bottom
"D4","LRV","Backlit_Larvae_Smaller",125.000000,-120.000000,0.000000,bottom
"D5","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",38.000000,-92.000000,0.000000,bottom
"D6","LRV","Backlit_Larvae_Smaller",140.000000,-135.000000,0.000000,bottom
"D7","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",58.000000,-92.000000,0.000000,bottom
"D8","LRV","Backlit_Larvae_Smaller",140.000000,-150.000000,0.000000,bottom
"D9","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",28.000000,-109.000000,0.000000,bottom
"D10","LRV","Backlit_Larvae_Smaller",140.000000,-165.000000,0.000000,bottom
"D11","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",48.000000,-109.000000,0.000000,bottom
"D12","LRV","Backlit_Larvae_Smaller",140.000000,-180.000000,0.000000,bottom
"D13","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",68.000000,-109.000000,0.000000,bottom
"D14","LRV","Backlit_Larvae_Smaller",140.000000,-195.000000,0.000000,bottom
"D15","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",38.000000,-126.000000,0.000000,bottom
"D16","LRV","Backlit_Larvae_Smaller",140.000000,-210.000000,0.000000,bottom
"D17","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",58.000000,-126.000000,0.000000,bottom
"D18","LRV","Backlit_Larvae_Smaller",125.000000,-225.000000,0.000000,bottom
"D19","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",78.000000,-126.000000,0.000000,bottom
"D20","LRV","Backlit_Larvae_Smaller",110.000000,-225.000000,0.000000,bottom
"D21","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",28.000000,-143.000000,0.000000,bottom
"D22","LRV","Backlit_Larvae_Smaller",95.000000,-225.000000,0.000000,bottom
"D23","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",48.000000,-143.000000,0.000000,bottom
"D24","LRV","Backlit_Larvae_Smaller",80.000000,-225.000000,0.000000,bottom
"D25","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",68.000000,-143.000000,0.000000,bottom
"D26","LRV","Backlit_Larvae_Smaller",65.000000,-225.000000,0.000000,bottom
"D27","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",38.000000,-160.000000,0.000000,bottom
"D28","LRV","Backlit_Larvae_Smaller",50.000000,-210.000000,0.000000,bottom
"D29","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",58.000000,-160.000000,0.000000,bottom
"D30","LRV","Backlit_Larvae_Smaller",50.000000,-195.000000,0.000000,bottom
"D31","WSP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",48.000000,-177.000000,0.000000,bottom
"D32","DENS1","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",110.000000,-160.250000,90.000000,bottom
"D34","DROP","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",110.000000,-175.750000,270.000000,bottom
"D37","PANIC","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",80.000000,-210.000000,0.000000,bottom
"D39","DENS2","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",95.000000,-210.000000,0.000000,bottom
"D40","DENS3","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",110.000000,-210.000000,0.000000,bottom
"D41","DROP2","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder_FabRef",125.000000,-210.000000,0.000000,bottom
"G***","LOGO","Hand1_Smooth_2.9x5.8mm_Back",70.000000,-213.000000,180.000000,bottom
"G***","LOGO","Hand1_Smooth_2.9x5.8mm_Back",70.000000,-207.000000,180.000000,bottom
"G***","LOGO","Floral_Tile_Rev_5x5mm",85.000000,-112.500000,0.000000,bottom
