Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.33uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",89.250000,-192.750000,0.000000,top
"C2","0.1uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",97.250000,-163.750000,180.000000,top
"C3","0.1uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",122.750000,-184.750000,180.000000,top
"C4","0.1uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",110.750000,-184.750000,180.000000,top
"C5","0.1uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",97.250000,-148.000000,180.000000,top
"C6","0.1uf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",93.250000,-192.750000,180.000000,top
"D33","SM4007PL","D_SOD-123",102.000000,-186.250000,180.000000,top
"D35","SM4007PL","D_SOD-123",102.000000,-189.250000,0.000000,top
"D36","SM4007PL","D_SOD-123",102.000000,-192.250000,180.000000,top
"D38","M7","D_SMA",65.000000,-199.000000,270.000000,top
"G***","LOGO","Floral_Tile_5x5mm",47.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",67.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",57.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",62.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",82.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",72.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",77.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",97.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",92.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",87.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",112.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",107.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",102.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",122.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",117.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",127.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",142.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",137.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",132.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-217.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-222.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-227.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-212.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-197.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-202.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-207.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-192.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-177.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-182.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-187.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-172.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-157.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-162.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-167.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-152.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-137.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-142.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-147.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-132.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-127.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-122.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-117.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",147.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",87.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",92.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",97.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-197.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",142.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",137.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",132.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",127.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",122.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",117.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",112.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",107.500000,-112.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",102.500000,-112.500000,0.000000,top
