Comment,Designator,Footprint,JLCPCB Part #（optional）
0.1uf,C2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C14663
0.1uf,C3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C14663
0.1uf,C4,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C14663
0.1uf,C5,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C14663
0.1uf,C6,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C14663
0.33uf,C1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C1615
M7,D38,D_SMA,C95872
SM4007PL,D33,D_SOD-123,C64898
SM4007PL,D35,D_SOD-123,C64898
SM4007PL,D36,D_SOD-123,C64898
100k,R49,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R50,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R51,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R52,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R53,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R54,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R56,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
100k,R61,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25803
1k,R48,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C21190
1k,R55,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C21190
1k,R60,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C21190
1k,R63,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C21190
1k,R67,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C21190
47k,R57,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C25819
DENS_R,R58,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab,C22975
