Designator,Mid X,Mid Y,Layer,Rotation
C1,89.25,-192.75,top,0
C2,97.25,-163.75,top,180
C3,122.75,-184.75,top,180
C4,110.75,-184.75,top,180
C5,97.25,-148,top,180
C6,93.25,-192.75,top,180
D33,102,-186.25,top,180
D35,102,-189.25,top,0
D36,102,-192.25,top,180
D38,65,-199,top,270
Q1,130.75,-187.75,top,0
Q2,97.25,-187.75,top,270
R0,95,-125,top,180
R1,54,-77,top,90
R10,64,-94,top,90
R11,64,-90,top,270
R12,135,-150,top,90
R13,34,-111,top,90
R14,34,-107,top,270
R15,135,-165,top,90
R16,54,-111,top,90
R17,54,-107,top,270
R18,135,-180,top,90
R19,74,-111,top,90
R2,54,-73,top,270
R20,74,-107,top,270
R21,135,-195,top,90
R22,44,-128,top,90
R23,44,-124,top,270
R24,135,-210,top,90
R25,64,-128,top,90
R26,64,-124,top,270
R27,125,-220,top,0
R28,84,-128,top,90
R29,84,-124,top,270
R3,110,-125,top,180
R30,110,-220,top,0
R31,34,-145,top,90
R32,34,-141,top,270
R33,95,-220,top,0
R34,54,-145,top,90
R35,54,-141,top,270
R36,80,-220,top,0
R37,74,-145,top,90
R38,74,-141,top,270
R39,65,-220,top,0
R4,74,-77,top,90
R40,44,-162,top,90
R41,44,-158,top,270
R42,55,-210,top,270
R43,64,-162,top,90
R44,64,-158,top,270
R45,55,-195,top,270
R46,54,-179,top,90
R47,54,-175,top,270
R48,118.75,-192.75,top,180
R49,126.75,-188.75,top,180
R5,74,-73,top,270
R50,126.75,-190.75,top,0
R51,106.75,-192.75,top,180
R52,126.75,-186.75,top,180
R53,110.5,-192.75,top,180
R54,122.75,-192.75,top,0
R55,126.75,-192.75,top,180
R56,114.75,-192.75,top,180
R57,114.75,-190.75,top,180
R58,130.75,-184.75,top,0
R59,114.75,-184.75,top,180
R6,125,-125,top,180
R60,97.25,-192.75,top,180
R61,97.25,-184.75,top,180
R62,97.25,-190.75,top,0
R63,126.75,-184.75,top,0
R64,130.75,-192.75,top,0
R65,130.75,-190.75,top,0
R66,114.75,-186.75,top,180
R67,114.75,-188.75,top,0
R7,44,-94,top,90
R8,44,-90,top,270
R9,135,-135,top,90
RV1,123,-151,top,0
RV2,123,-160,top,0
RV3,123,-169,top,0
RV4,123,-178,top,0
U0,93.5,-155.75,top,0
U1,93.5,-171.5,top,0
U2,108.75,-188.75,top,0
U3,120.75,-188.75,top,0
U5,91.25,-185.85,top,90
